d,target_reg,ret_hat,direction_hat
2021-09-10,-0.071,-0.2199259999999991,-1
2021-09-12,-2.575,-1.8316120000000085,-1
2021-09-15,-2.208,-1.4474079999999996,-1
2021-09-16,-0.037,-0.19569599999999993,-1
2021-09-18,-0.892,-0.759397999999998,-1
2021-09-19,-8.443,-5.62979400000003,-1
2021-09-20,-6.985,-5.073525999999993,-1
2021-09-23,-3.857,-2.3749239999999943,-1
2021-09-24,-0.645,-0.37383400000000144,-1
2021-09-26,-0.952,-0.5860819999999999,-1
2021-09-27,-2.128,-0.9094439999999948,-1
2021-10-06,-1.982,-1.0251740000000094,-1
2021-10-11,-2.09,-0.6914619999999977,-1
2021-10-15,-0.837,-0.1337180000000003,-1
2021-10-20,-5.583,-3.3166820000000174,-1
2021-10-21,-2.602,-1.5041139999999897,-1
2021-10-23,-0.628,-0.08630400000000008,-1
2021-10-25,-4.185,-2.319637999999984,-1
2021-10-26,-3.031,-1.6740759999999901,-1
2021-10-29,-0.677,-0.19033200000000106,-1
2021-10-30,-0.609,-0.44940000000000196,-1
2021-10-31,-0.555,-0.13450800000000032,-1
2021-11-03,-2.481,-1.673013999999996,-1
2021-11-04,-0.632,-0.40204800000000224,-1
2021-11-08,-0.661,-0.5382500000000008,-1
2021-11-09,-3.487,-2.257132,-1
2021-11-11,-1.361,-0.7482819999999963,-1
2021-11-14,-1.966,-1.2930180000000027,-1
2021-11-15,-5.382,-3.4444140000000036,-1
2021-11-16,-0.279,-0.4685219999999988,-1
2021-11-17,-5.586,-3.9220560000000066,-1
2021-11-20,-1.2,-1.0154099999999955,-1
2021-11-21,-4.487,-2.7563220000000097,-1
2021-11-23,-0.868,-0.5960439999999978,-1
2021-11-25,-8.826,-5.080014000000011,-1
2021-11-29,-1.422,-1.4810400000000103,-1
2021-11-30,0.146,-0.20866999999999947,-1
2021-12-01,-1.045,-1.1737459999999982,-1
2021-12-02,-5.145,-3.65434799999999,-1
2021-12-03,-8.406,-5.621903999999971,-1
2021-12-04,0.34,-0.08547999999999971,-1
2021-12-06,0.077,-0.3997780000000003,-1
2021-12-07,-0.146,-0.767524000000002,-1
2021-12-08,-5.075,-3.2720840000000173,-1
2021-12-09,-1.044,-1.3109939999999942,-1
2021-12-12,-6.684,-4.085285999999989,-1
2021-12-15,-2.39,-1.4920579999999934,-1
2021-12-16,-2.788,-1.7239780000000051,-1
2021-12-18,-0.061,-0.2718640000000033,-1
2021-12-19,0.167,-0.39008199999999943,-1
2021-12-21,-0.795,-0.5961159999999979,-1
2021-12-24,-0.381,-0.5379099999999992,-1
2021-12-25,0.411,-0.16161599999999965,-1
2021-12-26,-0.004,-2.733125999999988,-1
2021-12-27,-6.149,-3.8409619999999647,-1
2021-12-28,-2.523,-1.8878460000000112,-1
2021-12-30,-1.587,-1.0792659999999956,-1
2022-01-01,-0.436,-0.33347600000000294,-1
2022-01-02,-1.899,-1.1883079999999997,-1
2022-01-03,-1.179,-1.0272699999999921,-1
2022-01-04,-5.174,-3.406415999999987,-1
2022-01-05,-0.887,-1.0926659999999986,-1
2022-01-06,-3.783,-2.400461999999996,-1
2022-01-12,-3.035,-1.994659999999993,-1
2022-01-14,0.241,-0.2844919999999981,-1
2022-01-15,-0.088,-0.43468399999999735,-1
2022-01-16,-2.218,-1.4067259999999975,-1
2022-01-18,-1.517,-1.3792760000000082,-1
2022-01-19,-2.469,-2.1839600000000168,-1
2022-01-20,-10.462,-7.275875999999998,-1
2022-01-21,-4.099,-3.0755639999999973,-1
2022-01-25,-0.343,-0.1552260000000016,-1
2022-02-01,-4.758,-2.4283020000000115,-1
2022-02-09,-1.781,-1.146615999999999,-1
2022-02-10,-2.882,-1.7176279999999882,-1
2022-02-11,-0.434,-0.31749999999999895,-1
2022-02-15,-1.002,-0.7652500000000031,-1
2022-02-16,-7.842,-4.75432600000003,-1
2022-02-17,-1.393,-1.098739999999994,-1
2022-02-18,0.129,-0.10834599999999979,-1
2022-02-19,-3.851,-2.6339620000000186,-1
2022-02-20,-3.77,-2.40860199999999,-1
2022-02-22,-2.341,-1.3413200000000038,-1
2022-02-25,-0.679,-0.3086340000000009,-1
2022-02-26,-3.564,-1.6553619999999925,-1
2022-03-01,-0.789,-0.8628179999999944,-1
2022-03-02,-3.392,-1.9533280000000146,-1
2022-03-03,-7.969,-5.011496000000024,-1
2022-03-05,-2.5,-1.749668,-1
2022-03-06,-0.658,-0.5258979999999973,-1
2022-03-09,-5.971,-3.491472,-1
2022-03-10,-1.664,-1.1668499999999933,-1
2022-03-11,0.324,-0.07034199999999993,-1
2022-03-12,-2.934,-2.123165999999993,-1
2022-03-14,-0.737,-0.35710199999999725,-1
2022-03-16,-0.329,-0.41769600000000134,-1
2022-03-19,-2.129,-1.3946400000000048,-1
2022-03-20,-0.558,-0.45355200000000057,-1
2022-03-29,-0.717,-0.43377200000000254,-1
2022-03-30,-3.313,-1.9058459999999937,-1
2022-04-01,-0.671,-0.39245999999999837,-1
2022-04-03,0.479,-0.03656400000000023,-1
2022-04-04,-2.079,-1.5429559999999904,-1
2022-04-05,-5.226,-3.4078680000000294,-1
2022-04-06,0.61,-0.0008280000000002785,-1
2022-04-07,-3.092,-1.9302079999999946,-1
2022-04-09,-0.976,-0.8326459999999997,-1
2022-04-10,-6.437,-3.9645919999999744,-1
2022-04-13,-3.004,-1.7892760000000079,-1
2022-04-15,-0.217,-0.1590679999999994,-1
2022-04-16,-1.817,-1.1825280000000027,-1
2022-04-19,-0.227,-0.2803180000000006,-1
2022-04-20,-2.266,-1.568801999999995,-1
2022-04-21,-1.778,-1.2756400000000072,-1
2022-04-22,-0.391,-0.5699600000000014,-1
2022-04-23,-0.179,-0.06212400000000067,-1
2022-04-25,-5.932,-3.9389360000000067,-1
2022-04-28,-2.864,-1.9853060000000065,-1
2022-04-29,-2.319,-1.5174059999999918,-1
2022-05-02,-2.234,-1.1515439999999992,-1
2022-05-04,-7.92,-4.542004000000023,-1
2022-05-05,-1.258,-1.0349599999999965,-1
2022-05-06,-1.482,-1.0404880000000036,-1
2022-05-07,-4.083,-2.7033440000000093,-1
2022-05-08,-10.573,-7.534801999999973,-1
2022-05-10,-7.08,-4.469285999999977,-1
2022-05-15,-4.147,-2.1218160000000115,-1
2022-05-17,-5.477,-3.3041420000000152,-1
2022-05-19,-3.416,-1.9561480000000144,-1
2022-05-22,-4.1,-2.6655139999999964,-1
2022-05-24,-0.224,-0.3338859999999993,-1
2022-05-25,-0.828,-0.5908679999999992,-1
2022-05-26,-2.456,-1.4353780000000063,-1
2022-05-31,-6.3,-3.917911999999983,-1
2022-06-02,-2.759,-1.923134000000006,-1
2022-06-04,0.413,-0.008884000000000196,-1
2022-06-06,-0.506,-0.3908640000000003,-1
2022-06-07,-3.036,-2.023007999999982,-1
2022-06-08,-0.542,-0.6797499999999967,-1
2022-06-09,-3.307,-2.4650400000000063,-1
2022-06-10,-2.441,-2.079582000000002,-1
2022-06-11,-5.397,-3.693255999999987,-1
2022-06-12,-16.824,-11.269553999999946,-1
2022-06-13,-1.091,-0.6902820000000015,-1
2022-06-15,-9.816,-7.011683999999954,-1
2022-06-17,-7.09,-4.268877999999984,-1
2022-06-21,-3.312,-1.6083040000000057,-1
2022-06-25,-1.871,-1.1540499999999947,-1
2022-06-26,-1.498,-1.0751659999999978,-1
2022-06-27,-2.351,-1.490371999999999,-1
2022-06-28,-0.9,-0.7251939999999958,-1
2022-06-29,-3.725,-2.1935400000000045,-1
2022-07-08,-1.048,-0.5392480000000011,-1
2022-07-09,-3.492,-2.0653439999999916,-1
2022-07-10,-4.128,-2.731085999999995,-1
2022-07-11,-3.165,-1.4536599999999982,-1
2022-07-19,-0.386,-0.000975999999999912,-1
2022-07-20,-0.552,-0.48617399999999805,-1
2022-07-21,-1.928,-1.4947339999999991,-1
2022-07-22,-0.976,-1.0020600000000002,-1
2022-07-24,-5.047,-3.4021840000000148,-1
2022-07-25,-1.527,-0.7270019999999952,-1
2022-07-29,-1.367,-0.7757600000000014,-1
2022-07-30,-1.131,-0.8867299999999934,-1
2022-07-31,-0.106,-0.10876200000000075,-1
2022-08-01,-1.286,-0.7318380000000007,-1
2022-08-03,-2.983,-1.9055179999999836,-1
2022-08-05,-1.087,-0.5763979999999974,-1
2022-08-08,-2.594,-1.427510000000006,-1
2022-08-10,0.048,-0.27108599999999916,-1
2022-08-12,0.123,-0.16384199999999857,-1
2022-08-13,-0.459,-0.2992200000000013,-1
2022-08-14,-0.947,-0.6466440000000014,-1
2022-08-15,-0.893,-0.7757979999999945,-1
2022-08-16,-2.231,-1.635025999999996,-1
2022-08-17,-0.494,-0.6692760000000042,-1
2022-08-18,-9.967,-6.390406000000037,-1
2022-08-21,-1.173,-0.4396680000000006,-1
2022-08-23,-0.509,-0.4713899999999966,-1
2022-08-25,-6.215,-4.040717999999977,-1
2022-08-26,-0.999,-0.9095360000000052,-1
2022-08-27,-1.848,-1.047170000000007,-1
2022-08-29,-2.198,-1.2989019999999925,-1
2022-09-01,-0.779,-0.23567400000000047,-1
2022-09-02,-0.727,-0.3366320000000011,-1
2022-09-04,-0.822,-0.5666860000000018,-1
2022-09-05,-4.807,-2.7302340000000074,-1
2022-09-10,0.08,-0.01834000000000012,-1
2022-09-12,-9.835,-6.760946000000024,-1
2022-09-13,0.403,-0.2029859999999986,-1
2022-09-14,-2.714,-2.3882020000000113,-1
2022-09-15,0.227,-0.10305600000000015,-1
2022-09-17,-3.447,-2.1315660000000003,-1
2022-09-18,0.674,-0.07136000000000023,-1
2022-09-19,-3.503,-2.354098000000006,-1
2022-09-20,-1.94,-1.2640240000000047,-1
2022-09-22,-0.452,-0.357787999999999,-1
2022-09-23,-2.081,-1.292652000000007,-1
2022-09-24,-0.695,-0.598763999999997,-1
2022-09-26,-0.492,-0.26528400000000124,-1
2022-09-29,-0.541,-0.47537999999999836,-1
2022-09-30,-0.635,-0.4074799999999985,-1
2022-10-01,-1.536,-0.9740120000000014,-1
2022-10-04,-0.909,-0.49309999999999926,-1
2022-10-05,-1.015,-0.7571259999999946,-1
2022-10-06,-2.062,-1.1985160000000052,-1
2022-10-07,-0.629,-0.5057499999999981,-1
2022-10-09,-1.41,-0.7709900000000023,-1
2022-10-10,-0.601,-0.14215599999999948,-1
2022-10-13,-1.084,-0.7817340000000018,-1
2022-10-14,-0.562,-0.2351919999999994,-1
2022-10-17,-1.102,-0.36742400000000097,-1
2022-10-18,-1.082,-0.3671219999999979,-1
2022-10-19,-0.516,-0.49948799999999915,-1
2022-10-23,-1.145,-0.39687400000000295,-1
2022-10-26,-2.485,-1.6753560000000072,-1
2022-10-29,-0.9,-0.43853400000000176,-1
2022-10-30,-0.61,-0.2754520000000018,-1
2022-10-31,-0.034,-0.22446600000000103,-1
2022-11-01,-1.639,-1.1977700000000033,-1
2022-11-05,-1.582,-1.0215339999999964,-1
2022-11-06,-1.806,-1.2895060000000036,-1
2022-11-07,-9.955,-6.310413999999975,-1
2022-11-08,-14.916,-10.055726000000062,-1
2022-11-10,-3.561,-1.837190000000006,-1
2022-11-11,-0.861,-0.8341559999999955,-1
2022-11-12,-2.688,-1.9504259999999956,-1
2022-11-15,-1.163,-0.5501420000000038,-1
2022-11-16,0.093,-0.07627599999999926,-1
2022-11-17,-0.082,-0.1738599999999987,-1
2022-11-19,-2.69,-1.960768000000014,-1
2022-11-20,-2.886,-1.8254179999999987,-1
2022-11-24,-0.369,-0.1924299999999998,-1
2022-11-25,-0.446,-0.3324419999999994,-1
2022-11-26,-0.076,-0.13667999999999939,-1
2022-11-27,-1.36,-0.8000280000000064,-1
2022-11-30,-1.255,-0.3935299999999988,-1
2022-12-02,-1.028,-0.7000260000000029,-1
2022-12-04,-0.937,-0.5011180000000027,-1
2022-12-06,-1.302,-0.956956000000004,-1
2022-12-14,-2.615,-1.867358000000005,-1
2022-12-15,-4.255,-2.620518000000013,-1
2022-12-17,0.01,-0.05672600000000009,-1
