d,outFlows
2015-03-14,133125.08
2015-03-15,108242.524
2015-03-16,137443.798
2015-03-17,156113.129
2015-03-18,223199.813
2015-03-19,197181.974
2015-03-20,144871.227
2015-03-21,117819.423
2015-03-22,86855.231
2015-03-23,151686.424
2015-03-24,179542.812
2015-03-25,217498.578
2015-03-26,171659.41
2015-03-27,197371.696
2015-03-28,112587.636
2015-03-29,134011.006
2015-03-30,182665.557
2015-03-31,165151.255
2015-04-01,197295.031
2015-04-02,192321.824
2015-04-03,156392.187
2015-04-04,96621.662
2015-04-05,70544.344
2015-04-06,121250.572
2015-04-07,158512.383
2015-04-08,236076.391
2015-04-09,185573.881
2015-04-10,177142.861
2015-04-11,122643.604
2015-04-12,88146.031
2015-04-13,241984.05
2015-04-14,212443.606
2015-04-15,177344.597
2015-04-16,144154.22
2015-04-17,147558.363
2015-04-18,127346.72
2015-04-19,105399.438
2015-04-20,177277.517
2015-04-21,149921.748
2015-04-22,168166.824
2015-04-23,141355.389
2015-04-24,163543.881
2015-04-25,113945.298
2015-04-26,166125.254
2015-04-27,211888.988
2015-04-28,190104.269
2015-04-29,166906.59
2015-04-30,175469.937
2015-05-01,127116.479
2015-05-02,89204.942
2015-05-03,119598.746
2015-05-04,180158.852
2015-05-05,154170.904
2015-05-06,207671.546
2015-05-07,180035.416
2015-05-08,195859.969
2015-05-09,109858.16
2015-05-10,94567.151
2015-05-11,205605.957
2015-05-12,186980.682
2015-05-13,183041.069
2015-05-14,176282.68
2015-05-15,146316.811
2015-05-16,104344.005
2015-05-17,98195.619
2015-05-18,157738.77
2015-05-19,214235.392
2015-05-20,171876.433
2015-05-21,159670.291
2015-05-22,227732.505
2015-05-23,135300.2
2015-05-24,93320.286
2015-05-25,133049.294
2015-05-26,167918.138
2015-05-27,171638.982
2015-05-28,161849.455
2015-05-29,182639.362
2015-05-30,161532.499
2015-05-31,188942.658
2015-06-01,247600.238
2015-06-02,201271.624
2015-06-03,214052.611
2015-06-04,184294.477
2015-06-05,253755.13
2015-06-06,137569.803
2015-06-07,149730.175
2015-06-08,195315.371
