d,unixTs,sopr
2012-05-09,1336521600,1.0002604328960036
2012-05-10,1336608000,0.9991582119652451
2012-05-11,1336694400,0.9963325917272318
2012-05-12,1336780800,1.0073562945185774
2012-05-13,1336867200,0.9922698550344621
2012-05-14,1336953600,0.99812335153745
2012-05-15,1337040000,0.9996721548285181
2012-05-16,1337126400,0.9980322899798404
2012-05-17,1337212800,0.9966508492361417
2012-05-18,1337299200,0.9910930786783553
2012-05-19,1337385600,0.9995586715749774
2012-05-20,1337472000,0.9834305640934551
2012-05-21,1337558400,0.9938799944491894
2012-05-22,1337644800,0.998825425564329
2012-05-23,1337731200,1.0017198850323825
2012-05-24,1337817600,0.978772552380539
2012-05-25,1337904000,1.0003724835996985
2012-05-26,1337990400,0.9943540752113963
2012-05-27,1338076800,1.0010702992048635
2012-05-28,1338163200,0.999707830893742
2012-05-29,1338249600,0.9999350630817098
2012-05-30,1338336000,0.9998831863419994
2012-05-31,1338422400,0.9924265056997061
2012-06-01,1338508800,1.0015631855911145
2012-06-02,1338595200,1.0009527583230033
2012-06-03,1338681600,1.0002361478451518
2012-06-04,1338768000,1.0004469651081342
2012-06-05,1338854400,1.001956327368017
2012-06-06,1338940800,1.0024259270452907
2012-06-07,1339027200,1.001575548106656
2012-06-08,1339113600,1.0017855623247973
2012-06-09,1339200000,1.0033941788635643
2012-06-10,1339286400,1.000112639747989
2012-06-11,1339372800,1.002150265430812
2012-06-12,1339459200,1.0038012836635186
2012-06-13,1339545600,1.0055807472766154
2012-06-14,1339632000,1.0006530376096734
2012-06-15,1339718400,1.0077746808474501
2012-06-16,1339804800,1.004484603083734
2012-06-17,1339891200,1.007197865422534
2012-06-18,1339977600,1.0022859575890164
2012-06-19,1340064000,1.0037967389833196
2012-06-20,1340150400,1.0017612328841332
2012-06-21,1340236800,1.0102051074152203
2012-06-22,1340323200,1.0047335977540897
2012-06-23,1340409600,1.0015359024230044
2012-06-24,1340496000,1.0005232420149663
2012-06-25,1340582400,0.9988311165910086
2012-06-26,1340668800,1.0058281175752226
2012-06-27,1340755200,1.0036901416013526
2012-06-28,1340841600,1.0018043985636473
2012-06-29,1340928000,1.0020133204745831
2012-06-30,1341014400,1.003258684205741
2012-07-01,1341100800,1.0019045113066778
2012-07-02,1341187200,1.0074800390684475
2012-07-03,1341273600,0.9994206929438744
2012-07-04,1341360000,1.0021302478223064
2012-07-05,1341446400,1.0022863706536738
2012-07-06,1341532800,1.0034570643066798
2012-07-07,1341619200,0.9980758372454752
2012-07-08,1341705600,1.0099416318633951
2012-07-09,1341792000,1.0037199821304614
2012-07-10,1341878400,0.9751169676985544
2012-07-11,1341964800,1.011525312973625
2012-07-12,1342051200,1.0074261487326635
2012-07-13,1342137600,1.0102227599098978
2012-07-14,1342224000,0.9823882189813778
2012-07-15,1342310400,1.0030568364939643
2012-07-16,1342396800,1.015907116063785
2012-07-17,1342483200,1.0250884567040184
2012-07-18,1342569600,1.0205089419103717
2012-07-19,1342656000,1.0223173670124694
2012-07-20,1342742400,0.9994151135903447
2012-07-21,1342828800,1.0083097272492294
